#id     mean     max     min     std     50th     95th     25th     50th     75th     90th     95th     99th     100th
Client1     22531313.829787236     34891000     20041000     2504615.7501233965     21772000.0     27538250.0     20915000.0     21772000.0     23039500.0     25739300.000000007     27538250.0     31668369.999999985     34891000.0
Client2     22620345.74468085     41175000     20181000     2792647.727979359     21897000.0     26877850.0     21011750.0     21897000.0     23046500.0     25759000.000000004     26877850.0     35134539.99999999     41175000.0
Client3     22718989.36170213     34040000     20143000     2532444.937523608     21938000.0     27859100.0     21157250.0     21938000.0     23344250.0     25729700.000000004     27859100.0     32338279.999999993     34040000.0
Client4     23504776.59574468     60514000     19760000     5177539.298173708     21704000.0     32704400.000000007     20494000.0     21704000.0     24182250.0     28308800.0     32704400.000000007     40739249.99999995     60514000.0
Client5     23568734.04255319     56886000     19589000     5618338.259806637     21825500.0     32318150.0     20684500.0     21825500.0     23480000.0     29100200.0     32318150.0     52492329.999999985     56886000.0
Client6     23402308.510638297     64698000     19171000     5119310.050600851     21733000.0     33642700.00000001     20679250.0     21733000.0     23809000.0     27668200.000000022     33642700.00000001     39943509.999999985     64698000.0
Client7     22752186.170212764     58362000     19338000     4578574.627501005     21129000.0     27851100.000000004     20396000.0     21129000.0     23201500.0     26893500.0     27851100.000000004     45295809.999999985     58362000.0
Client8     23413877.659574468     64016000     19905000     5132268.088772528     21885500.0     30757850.0     20773750.0     21885500.0     23955250.0     27939500.0     30757850.0     42367769.99999994     64016000.0
Client9     22964558.510638297     45938000     20158000     3213378.6556947157     21978000.0     28648100.0     21051250.0     21978000.0     23733250.0     26583400.0     28648100.0     36849270.0     45938000.0
Client10     22907531.914893616     40956000     20145000     3310522.732080198     21812500.0     29702850.0     20942250.0     21812500.0     23312500.0     26580900.0     29702850.0     37978989.99999999     40956000.0
Client11     23759973.40425532     62499000     19787000     5271488.115458511     22204500.0     32132350.0     20782750.0     22204500.0     24212500.0     28356200.000000004     32132350.0     44212549.99999997     62499000.0
Client12     22533611.702127658     44429000     20145000     2741592.4055872527     21816000.0     27279950.0     21011250.0     21816000.0     23082750.0     25086900.000000004     27279950.0     33039189.999999985     44429000.0
Client13     23549994.680851065     82391000     19337000     7000344.9766797125     21393000.0     32443700.000000007     20486500.0     21393000.0     23597000.0     27039100.000000004     32443700.000000007     54230149.99999997     82391000.0
Client14     22623888.297872342     39312000     19640000     3124758.6584715378     21688500.0     29081700.000000004     20844000.0     21688500.0     22786000.0     26439000.0     29081700.000000004     35336059.99999998     39312000.0
Client15     23390617.021276597     58240000     19423000     5333128.070176242     21769500.0     34502550.000000015     20551750.0     21769500.0     23420750.0     27994100.0     34502550.000000015     46202509.99999999     58240000.0
Client16     23064085.106382977     42997000     19427000     4201602.641696898     21839000.0     31000000.000000007     20530500.0     21839000.0     23549250.0     27571800.000000004     31000000.000000007     42238040.0     42997000.0
Client17     23360457.44680851     50197000     19719000     4999747.389714323     21972000.0     32126100.000000007     20832500.0     21972000.0     23398000.0     26636700.000000004     32126100.000000007     46642959.999999985     50197000.0
Client18     23478430.85106383     57760000     19715000     5213920.846760359     21807000.0     32492350.000000007     20866250.0     21807000.0     23926750.0     27258300.0     32492350.000000007     50604769.99999999     57760000.0
Client19     22478127.659574468     47718000     20111000     3336308.53060124     21675000.0     26786650.000000004     20951250.0     21675000.0     22643000.0     24921700.0     26786650.000000004     35998749.99999994     47718000.0
Client20     22598643.617021278     51063000     19522000     4102339.758641597     21160500.0     29129250.0     20374500.0     21160500.0     23037500.0     26553100.0     29129250.0     42343440.0     51063000.0
Client21     22749457.44680851     56194000     19837000     4240743.596138444     21460500.0     29277700.0     20498000.0     21460500.0     23286250.0     26590800.0     29277700.0     39138009.999999985     56194000.0
Client22     23212170.21276596     49552000     19928000     5294950.013101198     21224000.0     34404000.0     20472750.0     21224000.0     23052500.0     28650800.000000007     34404000.0     47234659.99999999     49552000.0
Client23     24079707.44680851     55453000     19405000     6170909.953465074     21789500.0     38222550.00000001     20589250.0     21789500.0     24624500.0     30954100.000000007     38222550.00000001     49445669.999999985     55453000.0
Client24     23522680.85106383     47530000     19501000     4644631.275502717     21637500.0     32506000.0     20617500.0     21637500.0     24483250.0     30331600.0     32506000.0     42281130.0     47530000.0
Client25     23029255.319148935     63885000     19521000     5154397.087833595     21538500.0     31526750.0     20503500.0     21538500.0     23217750.0     25809800.0     31526750.0     43676399.999999925     63885000.0
Client26     22707095.74468085     36432000     20177000     2408709.0060734483     22014500.0     27424500.0     21159250.0     22014500.0     23430000.0     25873400.0     27424500.0     30202350.0     36432000.0
Client27     23194654.25531915     86267000     19819000     6081143.668912121     21606000.0     31926000.000000004     20682250.0     21606000.0     22934250.0     27651900.0     31926000.000000004     41424429.99999999     86267000.0
Client28     23375941.489361703     54727000     19320000     5005570.035957382     21961000.0     32513850.0     20639000.0     21961000.0     23968000.0     26187700.0     32513850.0     44539339.99999998     54727000.0
Client29     23131632.978723403     55819000     19113000     5003468.498906604     21479000.0     34155350.00000001     20458500.0     21479000.0     23328750.0     27608500.000000015     34155350.00000001     42878579.99999999     55819000.0
Client30     23192829.78723404     51141000     19943000     5314042.918648699     21394500.0     33518550.000000007     20506000.0     21394500.0     23075750.0     27604500.0     33518550.000000007     49171990.0     51141000.0
Client31     22304702.127659574     36727000     20163000     2694380.3212477984     21629500.0     28467150.000000004     20696500.0     21629500.0     22490250.0     24879600.0     28467150.000000004     33756589.99999999     36727000.0
Client32     22629345.74468085     45772000     19683000     4473143.500872377     21007500.0     32410300.0     20425500.0     21007500.0     22398250.0     26426900.000000004     32410300.0     42894340.0     45772000.0
Client33     23142888.297872342     78032000     19948000     5605918.886023198     21371000.0     31155500.000000004     20551250.0     21371000.0     23338750.0     28189800.000000004     31155500.000000004     40485729.99999999     78032000.0
Client34     24290920.21276596     61246000     19586000     6199819.409605339     22164500.0     34515350.0     20765000.0     22164500.0     24943500.0     31071700.0     34515350.0     51566389.99999997     61246000.0
Client35     23882308.510638297     77663000     19983000     5960987.92152491     22186000.0     34441200.0     20946750.0     22186000.0     24070750.0     29221600.000000007     34441200.0     41033889.99999995     77663000.0
Client36     23787186.170212764     48027000     19640000     4616692.76283407     22238000.0     34220900.0     20870750.0     22238000.0     24945500.0     28516000.0     34220900.0     40393189.999999985     48027000.0
Client37     22485138.297872342     34323000     20176000     2411609.8185742884     21774000.0     28369150.0     20977000.0     21774000.0     22895000.0     24943900.0     28369150.0     31476519.999999993     34323000.0
Client38     22307090.425531916     32760000     20167000     2007355.6722750238     21839500.0     25837800.000000004     20974750.0     21839500.0     22992250.0     24837500.0     25837800.000000004     31098110.0     32760000.0
Client39     22438601.063829787     39175000     20175000     2843739.193647728     21473500.0     26808500.0     20796000.0     21473500.0     23096500.0     25310400.0     26808500.0     37585280.0     39175000.0
Client40     23817356.382978722     53103000     19746000     5647433.56563938     21702500.0     36175100.00000001     20521000.0     21702500.0     24102000.0     29643200.000000015     36175100.00000001     45403199.99999997     53103000.0
Client41     24380420.21276596     56789000     19992000     5943063.268180093     22241000.0     37649250.0     20776250.0     22241000.0     25867250.0     29554000.000000007     37649250.0     50221509.999999985     56789000.0
Client42     23688813.829787236     62972000     19605000     5924233.04690692     21958000.0     36005450.00000003     20626500.0     21958000.0     23798500.0     28599600.000000007     36005450.00000003     50812169.99999998     62972000.0
Client43     22286015.95744681     40425000     19893000     2533638.409515235     21604500.0     27889950.000000007     20688500.0     21604500.0     22918000.0     25154300.0     27889950.000000007     29803600.0     40425000.0
Client44     23716079.78723404     53807000     19645000     5227561.366390516     21993500.0     34722050.00000001     20756500.0     21993500.0     24149750.0     28762100.0     34722050.00000001     48430589.999999985     53807000.0
Client45     22854122.340425532     65916000     19725000     5338034.915238885     21073500.0     32816500.00000002     20446000.0     21073500.0     22702250.0     26742500.000000007     32816500.00000002     43833729.99999999     65916000.0
Client46     22594750.0     38694000     20032000     2378795.0588860847     22023000.0     26889650.0     21026250.0     22023000.0     23195000.0     25247000.0     26889650.0     30356509.999999993     38694000.0
Client47     24342340.425531916     73201000     19371000     6266917.123688033     22321500.0     34867800.00000001     20894500.0     22321500.0     24628500.0     30506500.000000004     34867800.00000001     48421799.99999998     73201000.0
Client48     22723664.893617023     56299000     19400000     4833983.382246092     21257000.0     30870800.000000007     20481500.0     21257000.0     22638250.0     26580700.000000004     30870800.000000007     46287199.999999985     56299000.0
Client49     22905680.85106383     44009000     20125000     3715200.2400511163     21832000.0     29804000.000000004     20792500.0     21832000.0     23477500.0     26775300.0     29804000.000000004     38240749.999999985     44009000.0
Client50     22959106.382978722     46995000     20041000     3050975.171862426     22165000.0     28016450.0     21136500.0     22165000.0     23448250.0     26675700.000000004     28016450.0     33270999.999999985     46995000.0
