#id     mean     max     min     std     50th     95th     25th     50th     75th     90th     95th     99th     100th
Client1     80639873.33333333     516605000     20001000     88768239.49685283     53763500.0     267123300.00000003     27294250.0     53763500.0     87627750.0     195152000.00000006     267123300.00000003     439580089.99999946     516605000.0
Client2     79724993.33333333     1791107000     20009000     124200038.07090114     45587000.0     246446050.00000015     27276750.0     45587000.0     87420250.0     175166200.00000003     246446050.00000015     373241729.9999989     1791107000.0
Client3     55582646.666666664     1574541000     20118000     106745854.42867787     35687500.0     114566300.00000001     26348250.0     35687500.0     54446250.0     82817600.00000003     114566300.00000001     239805009.99999917     1574541000.0
Client4     93585400.0     4247489000     20003000     270702160.61119026     52427500.0     229134050.00000015     28015250.0     52427500.0     90859000.0     160377900.0     229134050.00000015     325264989.9999995     4247489000.0
Client5     47556840.0     855809000     20003000     68621779.8455738     34499000.0     91175200.00000004     24381750.0     34499000.0     47537250.0     65865300.00000001     91175200.00000004     318121729.9999997     855809000.0
Client6     52575260.0     733368000     20019000     70137983.39881465     35764000.0     116365150.00000006     24476500.0     35764000.0     56095000.0     80416700.0     116365150.00000006     369006459.9999997     733368000.0
Client7     77548670.0     1141998000     20009000     94037647.58354904     47570000.0     229504950.0     24855750.0     47570000.0     92597750.0     178360800.0000001     229504950.0     391516400.0     1141998000.0
Client8     74498170.0     481160000     20002000     67310397.47206791     54180500.0     206431600.00000003     26659250.0     54180500.0     92194000.0     160600700.00000003     206431600.00000003     325756429.9999997     481160000.0
Client9     50258036.666666664     1557359000     20002000     93229000.72921866     35978500.0     121853400.00000001     24288500.0     35978500.0     50247000.0     81273500.0     121853400.00000001     185416329.99999958     1557359000.0
Client10     78578473.33333333     1582178000     20004000     123572331.75058226     47858500.0     207092000.00000027     25888500.0     47858500.0     78088000.0     163213200.00000006     207092000.00000027     419967849.9999994     1582178000.0
Client11     88574050.0     2037873000     20014000     160609222.16328105     48906000.0     244432250.00000012     27302500.0     48906000.0     87078500.0     174895900.00000006     244432250.00000012     533437139.9999994     2037873000.0
Client12     61228530.0     453782000     20004000     63210015.43275479     39425000.0     181630150.00000015     23827250.0     39425000.0     65142000.0     127492000.00000001     181630150.00000015     335342309.9999996     453782000.0
Client13     59843140.0     3725055000     20012000     218726184.42948344     35062000.0     110710000.00000001     25480250.0     35062000.0     56089750.0     79245100.00000001     110710000.00000001     193395729.99999842     3725055000.0
Client14     51795086.666666664     2073634000     20057000     130309121.92165402     35588500.0     91687300.0     26168000.0     35588500.0     49233750.0     68828400.00000001     91687300.0     174903049.99999973     2073634000.0
